manufacturer,manufacturerPartNum,description,category,unitPrice,stockQuantity
"TDK","CC-0805-2965-A","Ceramic Capacitor 50V","Capacitors",2.14,75
"Bourns","ERJ-0805-4469-B","Thin Film SMD Resistor","Resistors",1.29,1270
"Microchip","STM32F9950-C","8-bit AVR Microcontroller","Integrated Circuits",184.63,1960
"Wurth Elektronik","HDR-2X5-5404-D","Terminal Block 3-Pos","Connectors",28.62,4020
"Samsung Electromechanics","CC-0805-9784-E","Tantalum Capacitor 16V","Capacitors",2.62,2915
"ROHM","MFR-TH-1502-F","Metal Film Axial","Resistors",1.29,3989
"NXP","SN74HC-9225-G","8-bit AVR Microcontroller","Integrated Circuits",178.84,4127
"JST","RJ45-8P8C-2412-H","USB Type-C Receptacle","Connectors",38.06,265
"TDK","TA-1206-8794-I","Electrolytic 25V","Capacitors",2.57,1185
"Bourns","CRCW-0603-5207-J","Precision Resistor 0.1W","Resistors",1.15,3211
"Analog Devices","PIC16F-6586-K","Dual Operational Amplifier","Integrated Circuits",204.16,2309
"Wurth Elektronik","RJ45-8P8C-5670-L","USB Type-C Receptacle","Connectors",28.74,626
"Murata","CC-0805-4503-M","Tantalum Capacitor 16V","Capacitors",2.35,2323
"Panasonic","ERJ-0805-9078-N","Thin Film SMD Resistor","Resistors",1.13,4623
"Microchip","SN74HC-4239-O","32-bit MCU 64KB Flash","Integrated Circuits",192.91,2123
"JST","HDR-2X5-2516-P","Terminal Block 3-Pos","Connectors",31.69,1940
"Vishay","CC-0805-1180-Q","SMD MLCC 10%","Capacitors",2.96,1560
"ROHM","RC-1206-2195-R","Precision Resistor 0.1W","Resistors",1.07,2550
"Texas Instruments","STM32F2468-S","8-bit PIC MCU","Integrated Circuits",193.17,3116
"TE Connectivity","TERM-3P-6976-T","USB Type-C Receptacle","Connectors",40.97,461
"Samsung Electromechanics","EC-RAD-8766-U","Electrolytic 25V","Capacitors",2.37,1175
"Panasonic","RC-1206-8378-V","Thin Film SMD Resistor","Resistors",1.28,82
"STMicroelectronics","LM358-9970-W","8-bit AVR Microcontroller","Integrated Circuits",199.52,548
"Molex","HDR-2X5-8098-X","Pin Header 2.54mm Pitch","Connectors",35.18,1219
"Murata","TA-1206-9622-Y","SMD MLCC 10%","Capacitors",2.21,2511
"Panasonic","RC-1206-4611-Z","Thin Film SMD Resistor","Resistors",1.20,4949
"Microchip","ATMEGA-1262-A","32-bit MCU 64KB Flash","Integrated Circuits",193.61,2667
"JST","RJ45-8P8C-5854-B","Modular Jack Shielded","Connectors",32.65,486
"Vishay","CC-0805-6536-C","Electrolytic 25V","Capacitors",2.25,2386
"ROHM","MFR-TH-1259-D","Thin Film SMD Resistor","Resistors",1.06,3274
"Microchip","STM32F7381-E","8-bit AVR Microcontroller","Integrated Circuits",171.29,1020
"JST","HDR-2X5-1619-F","Terminal Block 3-Pos","Connectors",28.35,3726
"Vishay","MLCC-0402-3462-G","Ceramic Capacitor 50V","Capacitors",2.77,4057
